,user_ids,support,itemsets,period,property_values,depth,size,SEX,itemset_name
0,"[114621, 123927, 139931, 147495, 154330, 168988, 173559, 219557, 225597, 235302, 259208, 263990, 283101, 289512, 293878, 320951, 325191, 327099, 327617, 335322, 342294, 346967, 358113, 371266, 383671, 384413, 390831, 393298, 393927, 405080, 426042, 447692, 456150, 460443, 461473, 480079, 480255, 488325, 489487, 491988, 496602, 525441, 537066, 544080, 552657, 556245, 556676, 561292, 577640, 584282, 589028, 592804, 601993, 615241, 615790, 674348, 681971, 687794, 748933, 758819, 777174, 817871, 830896, 832272, 832733, 880747, 881628, 882992, 886947, 889372, 902131, 917073, 919098, 933462, 946912, 947206, 956182, 956686, 961246, 963812, 967609, 972285, 976826, 978245, 978356, 979326, 991985, 997744, 1021290, 1022699, 1039816, 1067131, 1072252, 1097805]",94, 1487,2018-04-01,F,0.0,94,F,[]
1,"[419062, 448392, 552027, 1058591]",4, 224 494,2018-04-01,M,0.0,4,M,[]
2,"[419062, 448392, 552027, 562198, 1058591]",5, 224,2018-04-01,M,0.0,5,M,[]
3,"[199673, 247735, 277744, 453671, 555714, 597442, 939408]",7, 161,2018-04-01,M,0.0,7,M,[]
4,"[522344, 1036452, 1045705, 1082751]",4, 2128 87,2018-04-01,M,0.0,4,M,['GOLDEN CHERITEL']
5,"[361047, 522344, 1036452, 1045705, 1082751]",5, 2128,2018-04-01,M,0.0,5,M,['GOLDEN CHERITEL']
6,"[231859, 459345, 460697, 536669]",4, 2031 1486,2018-04-01,M,0.0,4,M,"['ARIZONA STRAWBERRY LEMON 500ML', 'BDG TARTELETTE FRAISES']"
7,"[199034, 296815, 380689, 520059]",4, 2031 1487,2018-04-01,M,0.0,4,M,['ARIZONA STRAWBERRY LEMON 500ML']
8,"[199034, 231859, 296815, 380689, 459345, 460697, 520059, 536669]",8, 2031,2018-04-01,M,0.0,8,M,['ARIZONA STRAWBERRY LEMON 500ML']
9,"[277744, 327457, 470595, 742829, 891686, 1047997, 1080578]",7, 1914,2018-04-01,M,0.0,7,M,[]
10,"[381830, 468745, 903197, 913998, 1057307]",5, 1902,2018-04-01,M,0.0,5,M,[]
11,"[154524, 170884, 508058, 509465, 879507]",5, 1897,2018-04-01,M,0.0,5,M,[]
12,"[167298, 246299, 361047, 424865, 913998, 992130]",6, 1891,2018-04-01,M,0.0,6,M,['CR CAFE ALLONGE']
13,"[122130, 128782, 258038, 388716, 408934, 431547, 963615, 1073037]",8, 1424,2018-04-01,M,0.0,8,M,[]
14,"[175866, 361047, 397932, 428202, 963615, 1052696, 1098732, 1099079]",8, 1406,2018-04-01,M,0.0,8,M,['RE EAU DE SOURC']
15,"[265739, 619463, 734723, 867332, 988692, 998545]",6, 1280,2018-04-01,M,0.0,6,M,[]
16,"[104626, 116969, 220407, 352928, 657281, 837831, 1026496]",7, 1176,2018-04-01,M,0.0,7,M,[]
17,"[302709, 528848, 545671, 713391, 753723, 821793, 983244]",7, 1017,2018-04-01,M,0.0,7,M,[]
18,"[290045, 329014, 517916, 539653]",4, 952 962,2018-04-01,M,0.0,4,M,"['BD MUFFIN TOBLERONE', 'BD TARTELETTE CITRON MERINGUEE']"
19,"[290045, 318547, 329014, 472871, 517916, 539653, 616565, 971686]",8, 952,2018-04-01,M,0.0,8,M,['BD TARTELETTE CITRON MERINGUEE']
20,"[103814, 290045, 351040, 388716, 619437, 913872, 1042707]",7, 905,2018-04-01,M,0.0,7,M,[]
21,"[213759, 269759, 284549, 322977, 478326, 923888, 949127, 971686]",8, 780,2018-04-01,M,0.0,8,M,[]
22,"[298174, 521191, 610976, 769023, 913872, 984430, 988692, 1052503]",8, 734,2018-04-01,M,0.0,8,M,['CDB ACC POELÉS DE LÉGUMES']
23,"[377790, 488635, 509465, 716869, 899725]",5, 733 482,2018-04-01,M,0.0,5,M,['CDB ACC POMMES DE TERRE GRENAILLE']
24,"[267007, 377790, 488635, 509465, 716869, 899725]",6, 733,2018-04-01,M,0.0,6,M,['CDB ACC POMMES DE TERRE GRENAILLE']
25,"[135063, 354392, 416219, 476814, 564777, 963615, 1014979]",7, 436,2018-04-01,M,0.0,7,M,['CARTE ESCALE DE']
26,"[112041, 213511, 352928, 555714, 752568, 1014685]",6, 511,2018-04-01,M,0.0,6,M,['CRO PART FONDANT CHOCOLAT']
27,"[187554, 258523, 287136, 321568, 559547, 581812, 597442, 989025]",8, 326,2018-04-01,M,0.0,8,M,[]
28,"[129342, 277744, 453671, 575459, 1069245]",5, 530,2018-04-01,M,0.0,5,M,[]
30,"[122926, 239503, 339664, 469254, 470752]",5, 2148 1487,2018-04-01,M,0.0,5,M,['TOTAL LAVE GL.CONCENT.ETE 250ML']
31,"[122926, 239503, 339664, 469254, 470752, 522636]",6, 2148,2018-04-01,M,0.0,6,M,['TOTAL LAVE GL.CONCENT.ETE 250ML']
32,"[424865, 457930, 565366, 1047955, 1060608]",5, 2093,2018-04-01,M,0.0,5,M,[]
33,"[239186, 361281, 392932, 461997]",4, 2037 1486,2018-04-01,M,0.0,4,M,['BDG TARTELETTE FRAISES']
34,"[223802, 239186, 278811, 361281, 366033, 392932, 461997]",7, 2037,2018-04-01,M,0.0,7,M,[]
35,"[191561, 289246, 453193, 462727, 472871, 791569]",6, 1998,2018-04-01,M,0.0,6,M,['CAMION MAISTO']
36,"[377790, 441803, 610976, 719340, 988673, 1023027]",6, 1883,2018-04-01,M,0.0,6,M,['LU HARICOTS VERTS']
37,"[112044, 153963, 318547, 595332, 776007, 864494, 1098732]",7, 1853,2018-04-01,M,0.0,7,M,['CR SANDWICH VOL']
38,"[247730, 469896, 570112, 657281, 992541, 1068632]",6, 1767,2018-04-01,M,0.0,6,M,['STIMOROM ORIGIN']
39,"[162606, 232029, 374847, 531875, 566502, 865871]",6, 1456,2018-04-01,M,0.0,6,M,[]
40,"[145230, 252444, 539653, 626426, 923572]",5, 1397,2018-04-01,M,0.0,5,M,['BD TARTINE BEURRE CONFITURE']
41,"[114666, 127790, 588437, 607784]",4, 1380 1917 59 962,2018-04-01,M,0.0,4,M,"['BD MUFFIN TOBLERONE', 'POCHETTE JEUX 6']"
42,"[104293, 114666, 127790, 203067, 588437, 607784, 1007975]",7, 1380,2018-04-01,M,0.0,7,M,['POCHETTE JEUX 6']
43,"[169218, 177400, 214517, 329461, 489993, 518892, 899645]",7, 1148,2018-04-01,M,0.0,7,M,[]
45,"[350390, 528848, 545671, 865852, 1001494]",5, 1018,2018-04-01,M,0.0,5,M,[]
46,"[154897, 199673, 254276, 428202, 552027, 615661, 1014685]",7, 980,2018-04-01,M,0.0,7,M,[]
47,"[126864, 135553, 227234, 390051, 480481, 557636, 896272]",7, 941,2018-04-01,M,0.0,7,M,[]
48,"[199673, 345369, 871596, 956341]",4, 912,2018-04-01,M,0.0,4,M,[]
49,"[258038, 448108, 463629, 488635, 622775, 756204, 956341]",7, 787,2018-04-01,M,0.0,7,M,[]
50,"[116969, 267391, 528700, 992130]",4, 729,2018-04-01,M,0.0,4,M,[]
51,"[310155, 837208, 877676, 946107]",4, 689,2018-04-01,M,0.0,4,M,['CRO VOLVIC TOUCHE DE FRUIT CITRON 50CL']
52,"[170884, 441803, 899645, 983577, 1039879]",5, 583,2018-04-01,M,0.0,5,M,[]
53,"[268359, 877676, 901075, 945563, 1042707]",5, 582,2018-04-01,M,0.0,5,M,[]
54,"[305678, 511129, 834438, 899949, 992130]",5, 573,2018-04-01,M,0.0,5,M,[]
55,"[129342, 453671, 575459, 1069245]",4, 530 222,2018-04-01,M,0.0,4,M,[]
56,"[135063, 372049, 486201, 716869, 1048011]",5, 2089,2018-04-01,M,0.0,5,M,[]
57,"[140591, 199673, 260808, 448108, 619437]",5, 1910,2018-04-01,M,0.0,5,M,[]
58,"[106748, 132095, 162465, 213759, 408934, 424865, 488635, 584174, 1045705]",9, 1631,2018-04-01,M,0.0,9,M,[]
59,"[175777, 216241, 414692, 450524, 497116, 845965, 980431, 983244, 1011163]",9, 1051,2018-04-01,M,0.0,9,M,['BD SDW SCANDINAVE']
60,"[129001, 169218, 178271, 312418, 322776, 381585, 424865, 466075, 997283]",9, 759,2018-04-01,M,0.0,9,M,[]
61,"[101532, 309153, 419062, 510060, 1069245]",5, 241,2018-04-01,M,0.0,5,M,[]
62,"[169564, 453671, 475296, 505787, 555714, 597442, 993844, 1050569, 1069245, 1092264]",10, 189,2018-04-01,M,0.0,10,M,[]
63,"[244198, 267391, 488635, 777046, 913998, 1057307, 1060608]",7, 2298,2018-04-01,M,0.0,7,M,['CARAMBAR FRUITS SCT  PQC']
64,"[207002, 377790, 977160, 1007975, 1036452]",5, 2244,2018-04-01,M,0.0,5,M,[]
65,"[203067, 266648, 424865, 431547, 610976, 622174, 953725, 1028864, 1082751]",9, 1884,2018-04-01,M,0.0,9,M,['CR SALADE D ACCUEIL']
66,"[124464, 183834, 291218, 363733, 622174, 807708, 911475, 1059674]",8, 1626,2018-04-01,M,0.0,8,M,[]
67,"[246306, 448108, 466946, 570112, 626426, 1036452, 1052503, 1068707, 1082865]",9, 1158,2018-04-01,M,0.0,9,M,[]
68,"[154897, 260808, 526400, 619437, 716869, 865852, 992541, 1007975]",8, 1151 482,2018-04-01,M,0.0,8,M,[]
69,"[526400, 615661, 619437, 1007975]",4, 1151 87,2018-04-01,M,0.0,4,M,[]
70,"[154897, 260808, 351040, 508058, 526400, 615661, 619437, 716869, 865852, 992541, 1007975]",11, 1151,2018-04-01,M,0.0,11,M,[]
71,"[119454, 147382, 213759, 326897, 348997, 466214, 489993, 509465, 716869, 804391, 896048]",11, 1147,2018-04-01,M,0.0,11,M,[]
72,"[228264, 416657, 564995, 596052, 811954, 833102, 879040, 996421, 1009010, 1031553, 1058185]",11, 1055,2018-04-01,M,0.0,11,M,[]
74,"[220247, 238857, 353744, 380689, 409547, 869139, 913899, 922589, 976894, 1038520]",10, 1035,2018-04-01,M,0.0,10,M,[]
75,"[138169, 223161, 315504, 319824, 374604, 407276, 407369, 441803, 982037]",9, 849,2018-04-01,M,0.0,9,M,[]
76,"[170884, 377790, 626335, 716869, 753456]",5, 726,2018-04-01,M,0.0,5,M,['CDB STEAK HACHÉN']
77,"[272583, 461624, 581042, 622767]",4, 723 1482,2018-04-01,M,0.0,4,M,['BDG ECLAIR CHOCOLAT']
78,"[146201, 171803, 272583, 285611, 407369, 461624, 559504, 574634, 581042, 622767, 753456]",11, 723,2018-04-01,M,0.0,11,M,[]
79,"[187554, 287136, 427779, 505859, 553817, 963615]",6, 431,2018-04-01,M,0.0,6,M,['CAFE EXPRESSO']
80,"[203067, 275298, 302502, 619437, 898413, 1037646, 1082751]",7, 2307,2018-04-01,M,0.0,7,M,['SACHETS BETISES VIOLETTE 200G AFCHAIN']
81,"[471775, 521191, 913872, 1007975, 1014685]",5, 1625 87,2018-04-01,M,0.0,5,M,[]
82,"[471775, 521191, 768575, 913872, 1007975, 1014685]",6, 1625,2018-04-01,M,0.0,6,M,[]
83,"[221900, 371575, 377365, 416657, 475419, 497116, 506972, 708114, 866805, 904661, 1048927]",11, 1478,2018-04-01,M,0.0,11,M,['BD TARTELETTE AUX POMMES UNIT']
84,"[218865, 318547, 447981, 572285, 619437, 625166, 865852, 950781]",8, 1163,2018-04-01,M,0.0,8,M,[]
85,"[135553, 174525, 261761, 284980, 407030, 521885, 538020, 804391, 1091761]",9, 1379,2018-04-01,M,0.0,9,M,['BD CHAUSSONS POMMES 105 G BF UNIT']
86,"[135736, 224585, 244198, 305370, 305572, 453193, 464331, 721084, 903824, 939954]",10, 1382,2018-04-01,M,0.0,10,M,['FRUITS - VENTE']
87,"[135736, 224585, 244198, 453193, 464331]",5, 1382 940,2018-04-01,M,0.0,5,M,['FRUITS - VENTE']
88,"[138395, 376847, 502397, 547651, 775671, 797398, 1089824]",7, 1483,2018-04-01,M,0.0,7,M,['BDG YAOURT LAIT ENTIER FRUITS ROUGES']
89,"[128782, 305572, 466946, 610976, 998545]",5, 1412 482,2018-04-01,M,0.0,5,M,['CBV CROISSANT']
90,"[128782, 305572, 369484, 466946, 526457, 610976, 963615, 998545]",8, 1412,2018-04-01,M,0.0,8,M,['CBV CROISSANT']
91,"[170782, 252444, 267391, 327457, 963615, 971686, 991720, 1068707]",8, 1383,2018-04-01,M,0.0,8,M,[]
92,"[135553, 175866, 348997, 361047, 549924, 963615, 992130, 1065536]",8, 1378,2018-04-01,M,0.0,8,M,['BD PAIN RAISIN']
93,"[153963, 536549, 965330, 1023027, 1063143, 1070333]",6, 1178,2018-04-01,M,0.0,6,M,[]
94,"[138169, 222847, 266157, 294156, 315774, 504984, 519452, 1020428]",8, 862,2018-04-01,M,0.0,8,M,[]
95,"[462055, 507102, 545944, 567649, 591620, 899080, 901075, 1024987]",8, 764,2018-04-01,M,0.0,8,M,[]
96,"[574634, 902225, 1014685, 1037646, 1052503]",5, 720 87,2018-04-01,M,0.0,5,M,['CR COOKIE CHOCOLAT LAIT 103 GR']
97,"[229452, 574634, 902225, 1014685, 1037646, 1052503]",6, 720,2018-04-01,M,0.0,6,M,['CR COOKIE CHOCOLAT LAIT 103 GR']
98,"[199673, 584447, 718597, 752568, 1014685]",5, 634 497,2018-04-01,M,0.0,5,M,[]
99,"[518892, 584447, 752568, 1014685]",4, 634 87,2018-04-01,M,0.0,4,M,[]
100,"[122926, 339664, 470752, 522636]",4, 2148 115,2018-04-01,M,0.0,4,M,['TOTAL LAVE GL.CONCENT.ETE 250ML']
101,"[199673, 403445, 518892, 584447, 610249, 718597, 752568, 1014685]",8, 634,2018-04-01,M,0.0,8,M,[]
102,"[176862, 261761, 268359, 528165, 884749, 1014979, 1040011]",7, 607,2018-04-01,M,0.0,7,M,['CRO SDW PANINI']
103,"[170884, 205866, 408175, 552904, 884582]",5, 574,2018-04-01,M,0.0,5,M,[]
104,"[112041, 112044, 268807, 303934, 391675, 725052, 1036452]",7, 234,2018-04-01,M,0.0,7,M,[]
105,"[303934, 320316, 510060, 745257]",4, 227 194,2018-04-01,M,0.0,4,M,[]
106,"[303934, 320316, 510060, 575459, 687512, 745257]",6, 227,2018-04-01,M,0.0,6,M,[]
107,"[112044, 309153, 322520, 381774, 453671, 584447, 862741, 973928]",8, 221,2018-04-01,M,0.0,8,M,[]
108,"[137310, 276275, 382334, 526027, 557620, 879125]",6, 79,2018-04-01,M,0.0,6,M,[]
109,"[273829, 321965, 441047, 923888, 991720, 997283, 1005776, 1082865]",8, 1975,2018-04-01,M,0.0,8,M,[]
110,"[254490, 272454, 752795, 804528, 864515, 1088671]",6, 1494,2018-04-01,M,0.0,6,M,[]
111,"[266265, 361047, 419983, 992130]",4, 1385 1832,2018-04-01,M,0.0,4,M,"['MENTOS GREEN AP', 'NECTARINES AU P']"
112,"[127810, 154524, 170884, 266265, 361047, 419983, 899080, 992130, 1073037]",9, 1385,2018-04-01,M,0.0,9,M,['NECTARINES AU P']
113,"[224585, 244198, 453193, 464331]",4, 1382 1917 940,2018-04-01,M,0.0,4,M,['FRUITS - VENTE']
114,"[110899, 148440, 406989, 775182, 789167, 862741, 1008376, 1069245, 1092264]",9, 625,2018-04-01,M,0.0,9,M,['CRO SDW BAGNAT RIVIERA']
115,"[145230, 146600, 156644, 203067, 252444, 266265, 304012, 621645, 815145, 905059, 1052696]",11, 1384,2018-04-01,M,0.0,11,M,[]
116,"[220023, 424857, 432312, 478858, 503548, 809954]",6, 0,2018-04-01,M,0.0,6,M,[]
117,"[129342, 320316, 381774, 575459, 1069245]",5, 162,2018-04-01,M,0.0,5,M,[]
118,"[126864, 734723, 998545, 1098732]",4, 93,2018-04-01,M,0.0,4,M,[]
120,"[350143, 377790, 578639, 1060608]",4, 2195 482,2018-04-01,M,0.0,4,M,['TOTAL LAVE GLACE ETE 2L ECOLO']
121,"[175111, 350143, 377790, 578639, 1060608]",5, 2195,2018-04-01,M,0.0,5,M,['TOTAL LAVE GLACE ETE 2L ECOLO']
122,"[239503, 308900, 470752, 565672]",4, 2145,2018-04-01,M,0.0,4,M,['TW NET PLASTIQUE 500ML']
123,"[127810, 540773, 719359, 864345, 1053473]",5, 2071,2018-04-01,M,0.0,5,M,[]
124,"[299866, 381774, 585153, 917830]",4, 2067,2018-04-01,M,0.0,4,M,['JEU UNO CLASSIQ']
125,"[341173, 709087, 724769, 775182]",4, 1999,2018-04-01,M,0.0,4,M,[]
126,"[241388, 734639, 777319, 1011607]",4, 1967,2018-04-01,M,0.0,4,M,[]
127,"[214517, 614129, 616225, 776007, 1082751]",5, 1930,2018-04-01,M,0.0,5,M,[]
128,"[542084, 753150, 988692, 1040091]",4, 1919,2018-04-01,M,0.0,4,M,[]
129,"[159143, 372049, 413192, 977160, 1028864]",5, 1888,2018-04-01,M,0.0,5,M,['CR YAOURT FRAMB']
130,"[298245, 328019, 339524, 483402, 663763]",5, 1524,2018-04-01,M,0.0,5,M,['BDG DOUBLE EXPR']
131,"[175111, 428651, 901480, 956708]",4, 1395,2018-04-01,M,0.0,4,M,['OFFRE DALTYS - GRANOLA BROWNIE 180G']
132,"[266716, 752568, 901480, 988692]",4, 1279,2018-04-01,M,0.0,4,M,[]
133,"[159143, 419594, 548063, 1022657, 1082060]",5, 1210,2018-04-01,M,0.0,5,M,['MEZ ICE TEA PECHE BTE 33CL']
134,"[153963, 366567, 578639, 1014685]",4, 1207,2018-04-01,M,0.0,4,M,[]
135,"[383805, 486201, 839184, 1060608]",4, 1205,2018-04-01,M,0.0,4,M,['MEZ PANINO 3 FR']
136,"[103019, 519499, 899725, 913872, 977160]",5, 1145,2018-04-01,M,0.0,5,M,[]
137,"[508058, 510144, 907465, 1014685]",4, 1086,2018-04-01,M,0.0,4,M,[]
138,"[152801, 625131, 838612, 892959, 1061938]",5, 1056,2018-04-01,M,0.0,5,M,[]
139,"[350390, 363733, 440578, 980431, 1034893]",5, 1050,2018-04-01,M,0.0,5,M,[]
140,"[242971, 348948, 668785, 990538]",4, 1041,2018-04-01,M,0.0,4,M,['BD SDW LE JAMBON']
141,"[152995, 174525, 466946, 557537]",4, 994,2018-04-01,M,0.0,4,M,[]
142,"[457930, 559009, 626426, 973439]",4, 979,2018-04-01,M,0.0,4,M,[]
144,"[610976, 753456, 953725, 973439, 997283]",5, 975,2018-04-01,M,0.0,5,M,[]
145,"[379359, 511129, 913872, 971686]",4, 518,2018-04-01,M,0.0,4,M,['CRO PART TARTE CRUMBLE FRAMBOISE CRANBER']
146,"[104293, 418129, 528700, 1017422]",4, 731,2018-04-01,M,0.0,4,M,[]
148,"[147382, 221580, 340311, 924214]",4, 1977,2018-04-01,M,0.0,4,M,[]
149,"[147391, 275425, 387532, 457930]",4, 1948,2018-04-01,M,0.0,4,M,[]
150,"[429680, 619437, 626162, 939954]",4, 1912,2018-04-01,M,0.0,4,M,[]
151,"[377790, 441803, 992130, 1036736]",4, 1882,2018-04-01,M,0.0,4,M,['LU STEAK HACHE']
152,"[268359, 572285, 1036452, 1047997]",4, 1874,2018-04-01,M,0.0,4,M,['CR PAIN AU RAIS']
153,"[284549, 314666, 419983, 622586]",4, 1849,2018-04-01,M,0.0,4,M,['CR MUFFIN TULIP TRIPLE CHOCOLAT 120G']
154,"[465145, 510144, 623860, 917049]",4, 1839,2018-04-01,M,0.0,4,M,['RED BULL ORANGE 25CL']
156,"[207749, 265739, 266716, 570112]",4, 1638,2018-04-01,M,0.0,4,M,[]
157,"[238828, 298174, 491004, 616225]",4, 1404,2018-04-01,M,0.0,4,M,['RE PANINI POULET MOZZARELLA']
158,"[192624, 584174, 899725, 1023027]",4, 1394,2018-04-01,M,0.0,4,M,['BD DOUBLE EXPRE']
159,"[162465, 348261, 431547, 769023]",4, 1391,2018-04-01,M,0.0,4,M,['BD TARTELETTE A']
160,"[246299, 352928, 804391, 865852]",4, 1274,2018-04-01,M,0.0,4,M,[]
161,"[122130, 537976, 973439, 1036452]",4, 1271,2018-04-01,M,0.0,4,M,[]
163,"[350143, 621645, 923572, 1082865]",4, 1168,2018-04-01,M,0.0,4,M,[]
164,"[177796, 657281, 719340, 774498]",4, 1137,2018-04-01,M,0.0,4,M,[]
165,"[370690, 521191, 795820, 1014685]",4, 1101,2018-04-01,M,0.0,4,M,[]
166,"[294568, 602481, 741223, 1054709]",4, 1014,2018-04-01,M,0.0,4,M,[]
167,"[291752, 345369, 879507, 971686]",4, 991,2018-04-01,M,0.0,4,M,[]
168,"[305107, 392504, 519499, 716869]",4, 947,2018-04-01,M,0.0,4,M,[]
169,"[226146, 752568, 956708, 1001992]",4, 916,2018-04-01,M,0.0,4,M,[]
170,"[447011, 510973, 922214, 924447]",4, 824,2018-04-01,M,0.0,4,M,['CDB SAN PELLEGR']
171,"[253296, 310155, 451669, 913872]",4, 754,2018-04-01,M,0.0,4,M,[]
172,"[266150, 278763, 400662, 599725]",4, 594,2018-04-01,M,0.0,4,M,[]
173,"[298174, 615661, 880954, 1047955, 1098099]",5, 974,2018-04-01,M,0.0,5,M,[]
174,"[298174, 326897, 616565, 768575, 973439]",5, 951,2018-04-01,M,0.0,5,M,[]
176,"[348261, 719340, 752568, 1060608]",4, 1268,2018-04-01,M,0.0,4,M,[]
177,"[290045, 469896, 572285, 1022657, 1053110, 1082060]",6, 1162,2018-04-01,M,0.0,6,M,['BD - - - A EMPO']
178,"[424865, 566212, 657281, 998545, 1006464]",5, 1135,2018-04-01,M,0.0,5,M,[]
179,"[145215, 170884, 234017, 275425, 310581, 350965]",6, 1012,2018-04-01,M,0.0,6,M,[]
180,"[500694, 662972, 840115, 929267, 939835, 1052919]",6, 1006,2018-04-01,M,0.0,6,M,[]
181,"[314666, 369484, 526088, 585153, 837831]",5, 988,2018-04-01,M,0.0,5,M,[]
182,"[289160, 377790, 521191, 1007975, 1014685]",5, 983,2018-04-01,M,0.0,5,M,[]
183,"[388716, 619437, 992541, 1036452]",4, 976 482,2018-04-01,M,0.0,4,M,[]
184,"[388716, 594535, 619437, 992541, 1036452]",5, 976,2018-04-01,M,0.0,5,M,[]
185,"[119454, 170782, 254276, 370690, 568740, 988692]",6, 973,2018-04-01,M,0.0,6,M,[]
186,"[446878, 472871, 605153, 616565, 777319, 1053110]",6, 957,2018-04-01,M,0.0,6,M,['BD MUFFIN FRANÇAIS 2 NUTELLAI']
187,"[132095, 605153, 802585, 864992, 1014685, 1052503]",6, 954,2018-04-01,M,0.0,6,M,['BD YAOURT AU LA']
188,"[203067, 350143, 535929, 584174, 621645, 899645]",6, 915,2018-04-01,M,0.0,6,M,[]
189,"[752568, 913872, 1037646, 1048011, 1082751]",5, 910 87,2018-04-01,M,0.0,5,M,[]
190,"[361047, 752568, 913872, 1037646, 1048011, 1082751]",6, 910,2018-04-01,M,0.0,6,M,[]
191,"[182006, 267007, 407030, 447050, 544077, 1028470]",6, 829,2018-04-01,M,0.0,6,M,[]
192,"[539653, 734723, 988692, 1007975]",4, 718 482,2018-04-01,M,0.0,4,M,['CR PAIN CHOCO.N']
193,"[284549, 539653, 734723, 988692, 1007975]",5, 718,2018-04-01,M,0.0,5,M,['CR PAIN CHOCO.N']
194,"[239598, 376468, 450524, 483791, 575826, 1011163]",6, 702,2018-04-01,M,0.0,6,M,['CRO CAFE EXPRESSO P']
196,"[190629, 355942, 568132, 572850, 623440]",5, 644,2018-04-01,M,0.0,5,M,[]
197,"[205047, 247624, 390051, 626409, 864345, 867553]",6, 532,2018-04-01,M,0.0,6,M,[]
198,"[199673, 393334, 518892, 752568]",4, 508,2018-04-01,M,0.0,4,M,['CRO YAOURT SUR LIT DE CITRON']
199,"[187554, 354392, 455008, 471775, 971894]",5, 351,2018-04-01,M,0.0,5,M,[]
200,"[143054, 152992, 309153, 552027, 1069245]",5, 187,2018-04-01,M,0.0,5,M,[]
201,"[123499, 170884, 956708, 963615, 1053208, 1060608]",6, 1390,2018-04-01,M,0.0,6,M,['BD TARTELETTE BANANE CHOCOLAT']
202,"[104626, 171706, 203067, 448108, 466946, 1058591]",6, 1413,2018-04-01,M,0.0,6,M,[]
203,"[104626, 392706, 448108, 657281, 956708, 1058591]",6, 1414,2018-04-01,M,0.0,6,M,[]
204,"[107884, 153963, 161912, 180172, 254153, 377607]",6, 1471,2018-04-01,M,0.0,6,M,[]
205,"[250481, 428202, 469896, 847693, 870078]",5, 899,2018-04-01,M,0.0,5,M,[]
206,"[446209, 865852, 984430, 1057855]",4, 879,2018-04-01,M,0.0,4,M,[]
207,"[120981, 259856, 441803, 594027, 1020428]",5, 825,2018-04-01,M,0.0,5,M,['CDB VITTEL PET 50CL']
208,"[104626, 509465, 619437, 719340, 1036452]",5, 814,2018-04-01,M,0.0,5,M,[]
210,"[171706, 322977, 466946, 550799]",4, 750,2018-04-01,M,0.0,4,M,[]
211,"[311783, 447011, 518892, 584660, 822036]",5, 711,2018-04-01,M,0.0,5,M,['MEZ STD TORTEL']
212,"[180990, 269643, 711341, 817529, 1091069]",5, 701,2018-04-01,M,0.0,5,M,[]
213,"[213511, 544077, 597442, 939408, 993844]",5, 633,2018-04-01,M,0.0,5,M,[]
214,"[406989, 575459, 582655, 1069245]",4, 623,2018-04-01,M,0.0,4,M,[]
216,"[172679, 468396, 478326, 620290, 753456]",5, 533,2018-04-01,M,0.0,5,M,[]
217,"[187947, 316593, 389628, 416684, 1082015, 1093055]",6, 97,2018-04-01,M,0.0,6,M,[]
218,"[132966, 193275, 318927, 418229, 521837]",5, 529,2018-04-01,M,0.0,5,M,[]
219,"[456892, 553817, 953725, 963615]",4, 434,2018-04-01,M,0.0,4,M,['MEZ BROWNIE 80 G UNIT']
220,"[247754, 263913, 549238, 1028864]",4, 332,2018-04-01,M,0.0,4,M,[]
221,"[112044, 213511, 352928, 475296, 940391]",5, 196,2018-04-01,M,0.0,5,M,[]
222,"[347161, 448392, 536549, 1058591]",4, 193,2018-04-01,M,0.0,4,M,[]
224,"[268921, 276275, 953991, 1042128]",4, 33,2018-04-01,M,0.0,4,M,[]
225,"[199673, 305572, 552027, 971894]",4, 2125,2018-04-01,M,0.0,4,M,[]
226,"[525481, 568740, 596199, 795820, 1036452]",5, 2082,2018-04-01,M,0.0,5,M,[]
227,"[278763, 407030, 542084, 903390, 963500, 977160]",6, 1918,2018-04-01,M,0.0,6,M,[]
228,"[155826, 741648, 864345, 923888, 1037646]",5, 1813,2018-04-01,M,0.0,5,M,['MENTOS FRESH MTH EUCALY 60G']
229,"[908778, 913872, 964774, 1060608, 1098099]",5, 1567 87,2018-04-01,M,0.0,5,M,[]
230,"[908778, 913872, 964774, 987750, 1060608, 1098099]",6, 1567,2018-04-01,M,0.0,6,M,[]
231,"[101532, 104626, 177400, 740276, 991528]",5, 528,2018-04-01,M,0.0,5,M,[]
233,"[192624, 305107, 441803, 488635, 621645, 899725]",6, 1532,2018-04-01,M,0.0,6,M,[]
234,"[191954, 250204, 260808, 616565]",4, 953 482,2018-04-01,M,0.0,4,M,['BD MASCOTTE FRAMBOISE']
235,"[138395, 176750, 178786, 189419, 204046, 292909, 308900, 318233, 332788, 346950, 353744, 366241, 402047, 405072, 422871, 465203, 465370, 477056, 477935, 502397, 505482, 516224, 548118, 574649, 585369, 616790, 731930, 804528, 863202, 897154, 908076, 948196, 949285, 953668, 965663, 1019603, 1022740, 1031280, 1031553, 1033497, 1055722, 1068889, 1091976]",43, 1488,2018-04-01,M,0.0,43,M,[]
236,"[344469, 447576, 512483, 992130]",4, 1832 1053,2018-04-01,M,0.0,4,M,['MENTOS GREEN AP']
237,"[107936, 424865, 447576, 597332, 992130]",5, 1832 1482,2018-04-01,M,0.0,5,M,"['BDG ECLAIR CHOCOLAT', 'MENTOS GREEN AP']"
