,user_ids,support,itemsets,period,property_values,depth,size,AGE,itemset_name
0,"[107874, 107966, 112041, 113297, 125902, 133022, 133955, 145395, 146803, 152806, 156003, 157180, 166603, 168797, 170102, 173968, 182731, 183140, 183978, 192038, 193056, 193677, 195757, 197038, 197718, 199285, 199504, 202371, 202501, 222847, 230980, 231496, 235302, 236734, 249926, 260993, 264832, 269982, 270370, 270415, 278479, 288120, 289819, 289967, 296137, 298450, 305001, 305264, 313650, 314153, 314863, 318339, 322207, 327138, 327610, 329514, 329819, 331316, 333530, 335616, 336107, 337386, 337828, 339885, 340311, 342654, 344704, 350593, 350800, 352108, 353647, 353820, 354101, 354730, 358989, 359007, 359909, 360868, 361859, 363046, 363393, 368969, 369391, 374531, 377365, 378650, 380689, 385474, 389100, 392099, 397173, 397255, 397272, 397289, 408605, 409547, 411041, 411832, 412316, 419594, 420063, 422439, 426563, 429530, 431743, 436180, 438686, 440924, 447321, 448117, 453626, 454692, 457077, 467594, 470483, 472481, 472871, 477668, 479753, 480255, 483490, 486113, 490190, 491988, 494705, 506019, 506392, 506611, 508067, 513229, 514356, 517640, 518439, 520840, 521461, 525304, 527840, 530414, 536854, 538559, 538640, 543053, 543323, 544080, 545590, 548135, 550293, 558271, 562031, 573393, 573780, 574995, 577041, 583577, 583814, 591109, 592510, 601555, 604625, 607089, 608653, 612811, 615241, 617647, 620005, 625136, 640725, 668724, 682984, 715934, 716101, 728050, 748610, 748791, 756856, 757685, 767398, 778878, 783849, 794818, 864313, 868017, 869865, 878915, 882421]",185, 4126,2017-02-28,35-49,0.0,185,35-49,['RECHARGE LAVAGE']
1,"[140050, 258413, 272307, 466946]",4, 1698,2017-02-28,50-65,0.0,4,50-65,['ROCHER NOIR 35G']
2,"[200853, 263990, 304549]",3, 1523 1464,2017-02-28,50-65,0.0,3,50-65,"['BDG EXPRESSO', 'BDG STEACK HACHE FRITES']"
3,"[200853, 247754, 263990, 304549]",4, 1464,2017-02-28,50-65,0.0,4,50-65,['BDG STEACK HACHE FRITES']
4,"[261185, 278763, 428202, 453036]",4, 1394,2017-02-28,50-65,0.0,4,50-65,['BD DOUBLE EXPRE']
5,"[263990, 365536, 752568]",3, 1119 431,2017-02-28,50-65,0.0,3,50-65,"['BD SAN PELLEGRI', 'CAFE EXPRESSO']"
6,"[263990, 332928, 365536, 423037, 752568]",5, 1119,2017-02-28,50-65,0.0,5,50-65,['BD SAN PELLEGRI']
7,"[315695, 365536, 668617]",3, 1047 431,2017-02-28,50-65,0.0,3,50-65,"['BD LE CIABATTA MIXTE', 'CAFE EXPRESSO']"
8,"[315695, 365536, 531393, 664517, 668617]",5, 1047,2017-02-28,50-65,0.0,5,50-65,['BD LE CIABATTA MIXTE']
9,"[159524, 584447, 697503]",3, 686,2017-02-28,50-65,0.0,3,50-65,['CRO EAU DE SOURCE 50CL PET']
10,"[173428, 214946, 331214, 338003, 433073]",5, 63,2017-02-28,50-65,0.0,5,50-65,[]
11,"[180654, 467509, 517642]",3, 10,2017-02-28,50-65,0.0,3,50-65,[]
12,"[100715, 146481, 199673, 322977, 351249]",5, 5844,2017-02-28,50-65,0.0,5,50-65,['GAUFFRE LIEGE CHOCO X5 225G LOTUS']
13,"[106717, 301967, 514207, 536284]",4, 5801,2017-02-28,50-65,0.0,4,50-65,['MONSTER ENERGY BTE 50CL']
14,"[104120, 193388, 259079, 271346, 344702, 356654]",6, 5607,2017-02-28,50-65,0.0,6,50-65,['COCA COLA ZERO 50CL PET']
15,"[178794, 180086, 294969, 622174, 649774, 703490]",6, 4632,2017-02-28,50-65,0.0,6,50-65,['NET.JANTE 500ML NEOCLEAN']
16,"[198623, 252210, 261458, 340209, 527643]",5, 2858,2017-02-28,50-65,0.0,5,50-65,['VITTEL BOUTEILL']
17,"[123777, 272307, 332928, 463457, 566430]",5, 1777,2017-02-28,50-65,0.0,5,50-65,['ROCHER LAIT 35G SUCHARD']
18,"[193388, 237287, 272307, 326897, 355952]",5, 1776,2017-02-28,50-65,0.0,5,50-65,"[""NOUGATTI COTE D'OR 30G""]"
19,"[153168, 304012, 352244, 355952, 375557, 467917]",6, 1743,2017-02-28,50-65,0.0,6,50-65,['LION UNITE 42G']
20,"[171664, 351249, 389556, 414852, 470762, 536284]",6, 1532,2017-02-28,50-65,0.0,6,50-65,[]
21,"[278763, 453036, 519887]",3, 1378,2017-02-28,50-65,0.0,3,50-65,['BD PAIN RAISIN']
22,"[110245, 143947, 235938, 354336, 687943]",5, 869,2017-02-28,50-65,0.0,5,50-65,['BD. CROISSANT ECLAT DU TERROIR']
23,"[211249, 263990, 575459]",3, 688,2017-02-28,50-65,0.0,3,50-65,['CR EVIAN PET 50CL']
24,"[100715, 470636, 527643, 540247, 584447]",5, 1704,2017-02-28,50-65,0.0,5,50-65,['KIT KAT X 3  124.50']
25,"[174525, 177528, 236540, 383585]",4, 2769,2017-02-28,50-65,0.0,4,50-65,['CHIPS LAYS MAX NATURE 135G']
26,"[100715, 527643, 584447]",3, 1704 1547,2017-02-28,50-65,0.0,3,50-65,"['KIT KAT X 3  124.50', 'SAC BOUTIQUE KRAFT']"
27,"[140050, 276785, 466946, 586116, 721265]",5, 2362,2017-02-28,50-65,0.0,5,50-65,['EVIAN FREERIDE 75 CL']
28,"[189915, 226056, 371348, 768034]",4, 1757,2017-02-28,50-65,0.0,4,50-65,['COCA COLA LIGHT 50CL']
29,"[272307, 369769, 375557, 886368]",4, 1707,2017-02-28,50-65,0.0,4,50-65,['BOUNTY CHOC LAIT 57G']
30,"[263990, 296939, 385858, 461571]",4, 1533,2017-02-28,50-65,0.0,4,50-65,[]
31,"[263990, 278763, 365536, 531393]",4, 1388,2017-02-28,50-65,0.0,4,50-65,['BD FLAN NATURE']
32,"[110245, 235938, 471775]",3, 1374,2017-02-28,50-65,0.0,3,50-65,['BD PAIN AU CHOCOLAT']
33,"[235938, 365536, 613049]",3, 1045,2017-02-28,50-65,0.0,3,50-65,['BD SDW LE LYONNAIS']
34,"[116969, 118478, 525249, 697503]",4, 608,2017-02-28,50-65,0.0,4,50-65,['CR SAND PREMIUM']
35,"[176424, 352928, 437007]",3, 373,2017-02-28,50-65,0.0,3,50-65,['LUN SALADE ACCUEIL']
36,"[187947, 383172, 389628, 451209]",4, 285,2017-02-28,50-65,0.0,4,50-65,[]
37,"[125918, 126962, 131014, 547651]",4, 57,2017-02-28,50-65,0.0,4,50-65,[]
38,"[153168, 344944, 695135]",3, 6971,2017-02-28,50-65,0.0,3,50-65,['RED BULL 355ML']
39,"[229149, 294969, 470752, 542971]",4, 6894,2017-02-28,50-65,0.0,4,50-65,['LAMPE H7 12V 55W PREMIU']
40,"[100715, 241319, 464868, 467917]",4, 6012,2017-02-28,50-65,0.0,4,50-65,['ICE TEA PECHE 50CL']
41,"[100715, 470636, 584447]",3, 5845 1704,2017-02-28,50-65,0.0,3,50-65,"['KIT KAT X 3  124.50', 'LOTUS GAUFRES L']"
42,"[470636, 531393, 752568]",3, 5843 263,2017-02-28,50-65,0.0,3,50-65,"['REMISE BUS AUTOROUTE 9\x80', 'SPECULOOS X8 120G']"
43,"[139038, 154662, 222969, 294969]",4, 5760,2017-02-28,50-65,0.0,4,50-65,['PRINGLES ORIGINAL 175G']
44,"[174525, 349380, 722124]",3, 5483,2017-02-28,50-65,0.0,3,50-65,['RITTER NOIR NOIS 100G']
45,"[326332, 385319, 457187, 547651]",4, 4130,2017-02-28,50-65,0.0,4,50-65,['ASPIRATEUR']
46,"[141207, 156641, 174525, 274836, 411677]",5, 3875,2017-02-28,50-65,0.0,5,50-65,['TRIANGLE JAMBOM']
47,"[247730, 294969, 518210]",3, 3306,2017-02-28,50-65,0.0,3,50-65,['SDW MEGA JB CHE']
48,"[100715, 176337, 252444, 262091, 599727]",5, 3270,2017-02-28,50-65,0.0,5,50-65,['SOEBO JMB CRU CHEVRE 190G']
49,"[356654, 471775, 584447]",3, 2640,2017-02-28,50-65,0.0,3,50-65,['ORANGINA 33CL']
50,"[178271, 258511, 352928, 622174, 695135]",5, 2368,2017-02-28,50-65,0.0,5,50-65,['EVIAN 50CL']
51,"[323618, 348380, 541417]",3, 2195,2017-02-28,50-65,0.0,3,50-65,['TOTAL LAVE GLACE ETE 2L ECOLO']
52,"[235183, 352244, 369549]",3, 1767,2017-02-28,50-65,0.0,3,50-65,['STIMOROM ORIGIN']
53,"[261215, 383585, 518210]",3, 2325,2017-02-28,50-65,0.0,3,50-65,['VOLVIC ZEST CIT']
54,"[100715, 159524, 204029, 278763, 352928, 575459]",6, 1855,2017-02-28,50-65,0.0,6,50-65,['CR SANDWICH CLASSIC']
55,"[151531, 191307, 211149, 249298, 269732, 273658, 551178, 600515, 671210, 675734, 815181]",11, 4131,2017-02-28,50-65,0.0,11,50-65,['LAVAGE 2 PLEIN TARIF']
56,"[269187, 518210, 540247, 584447]",4, 1622 1738,2017-02-28,50-65,0.0,4,50-65,"['CR CAFE EXPRESSO', 'CR PAIN AU CHOCOLAT']"
57,"[139038, 148673, 187833, 199673, 269187, 278763, 345758, 518210, 540247, 576233, 584447, 594666]",12, 1622,2017-02-28,50-65,0.0,12,50-65,['CR PAIN AU CHOCOLAT']
58,"[518871, 584447, 752568]",3, 1547 263,2017-02-28,50-65,0.0,3,50-65,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
59,"[100715, 108168, 181639, 199673, 260630, 294969, 344702, 348997, 356654, 383585, 470752, 518871, 527643, 536284, 584447, 752568]",16, 1547,2017-02-28,50-65,0.0,16,50-65,['SAC BOUTIQUE KRAFT']
60,"[471775, 519887, 752568]",3, 264 431 263,2017-02-28,50-65,0.0,3,50-65,"['CAFE EXPRESSO', 'REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
61,"[471775, 519887, 520708, 752568]",4, 264 431,2017-02-28,50-65,0.0,4,50-65,"['CAFE EXPRESSO', 'REMISE BUS AUTOROUTE 15\x80']"
62,"[471775, 519887, 521885, 531393, 584447, 752568]",6, 264 263,2017-02-28,50-65,0.0,6,50-65,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80']"
63,"[211249, 363692, 453036, 469829, 471775, 519887, 520708, 521885, 531393, 584447, 752568]",11, 264,2017-02-28,50-65,0.0,11,50-65,['REMISE BUS AUTOROUTE 15\x80']
64,"[128265, 176750, 563868]",3, 4099 4125,2017-02-28,50-65,0.0,3,50-65,"['LAVAGE 1 PLEIN', 'RECHARGE LAVAGE TW - A']"
65,"[113350, 123949, 128265, 138794, 161721, 176750, 197394, 266531, 298548, 329988, 344630, 385319, 402831, 475440, 479246, 479256, 563868]",17, 4099,2017-02-28,50-65,0.0,17,50-65,['LAVAGE 1 PLEIN']
66,"[143947, 247754, 263990, 315695, 365536, 447013, 453671, 471775, 519887, 520708, 668617, 752568]",12, 431,2017-02-28,50-65,0.0,12,50-65,['CAFE EXPRESSO']
67,"[116969, 123777, 176424, 186835, 246323, 261443, 266265, 269187, 298678, 298971, 321127, 425086, 437007, 518210, 540247, 584447, 698572]",17, 1738,2017-02-28,50-65,0.0,17,50-65,['CR CAFE EXPRESSO']
68,"[103799, 107174, 114719, 118861, 145566, 165568, 186738, 189419, 206077, 208744, 261658, 273694, 283194, 298548, 348211, 372572, 387101, 409352, 430159, 462236, 479246, 496594, 602583, 614909, 661666, 723962, 728393, 754792]",28, 4127,2017-02-28,50-65,0.0,28,50-65,['REC LAVAGE PJE  20 U']
69,"[100203, 126551, 134163, 134473, 140439, 153041, 158802, 159082, 174735, 236773, 241533, 259381, 273229, 280850, 291218, 294568, 296036, 303422, 327215, 337469, 344660, 348948, 363005, 371266, 372272, 452375, 470752, 498334, 505602, 538133, 622174, 624179, 730072, 733908]",34, 4136,2017-02-28,50-65,0.0,34,50-65,['RECHARGE LAVAGE TW - D']
70,"[100977, 104518, 113036, 121147, 168144, 169402, 221131, 240683, 243783, 270422, 287468, 291453, 294568, 301402, 351249, 379576, 439384, 459432, 485168, 528757, 613132, 737348, 751146, 876768]",24, 4074,2017-02-28,50-65,0.0,24,50-65,['BIDON AD BLUE 10L']
71,"[114176, 123314, 132437, 170729, 178862, 197750, 201887, 215614, 217726, 242148, 258020, 262444, 271676, 274124, 287308, 299417, 302343, 321127, 325920, 330886, 346333, 371949, 375108, 393071, 395643, 403828, 444295, 475454, 542549, 561615, 600607, 605319, 616924, 623204]",34, 4129,2017-02-28,50-65,0.0,34,50-65,['REC LAVAGE PJE']
72,"[151893, 327179, 383055, 470752, 541273]",5, 2946 4126,2017-02-28,50-65,0.0,5,50-65,"['RECHARGE LAVAGE', 'TW  LAVE GLACE']"
73,"[102370, 104142, 104898, 107250, 113270, 113350, 120086, 130532, 137677, 151893, 167694, 169402, 180172, 192627, 200370, 234017, 236154, 250116, 251141, 271035, 274892, 287161, 288466, 318991, 327179, 331943, 346333, 349408, 366834, 369549, 372272, 380131, 383055, 427961, 450205, 470752, 490090, 494174, 541273, 572676, 616924, 620225, 742430, 794978]",44, 2946,2017-02-28,50-65,0.0,44,50-65,['TW  LAVE GLACE']
74,"[349380, 354336, 380150, 422794, 428189, 428202, 441816, 470636, 471775, 518871, 519887, 521885, 526400, 531393, 542068, 555845, 563834, 584447, 695135, 752568]",20, 263,2017-02-28,50-65,0.0,20,50-65,['REMISE BUS AUTOROUTE 9\x80']
75,"[104293, 113036, 118478, 122584, 130532, 167694, 177373, 187833, 191561, 199984, 204037, 239757, 251775, 264526, 270220, 270517, 275588, 281206, 287610, 293120, 294969, 299418, 338507, 338762, 345108, 347715, 353175, 368080, 375197, 381310, 384135, 385713, 398681, 418815, 437007, 438350, 444802, 454494, 459432, 464331, 464605, 482919, 519059, 551228, 555432, 557999, 559445, 588437, 616134, 651436, 681522, 685231, 715202, 730291, 752912, 787610, 864160]",57, 163,2017-02-28,50-65,0.0,57,50-65,[]
76,"[140784, 173033, 173559, 205440, 265391]",5, 4125 4126,2017-02-28,50-65,0.0,5,50-65,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
77,"[100615, 102370, 103904, 105769, 109910, 118554, 122194, 123618, 125615, 128265, 138325, 139038, 140784, 143488, 152370, 153534, 153970, 156950, 161197, 161206, 165785, 170198, 171799, 172457, 173033, 173559, 175030, 175183, 176750, 177168, 179792, 181027, 181624, 184070, 185724, 194762, 199937, 205440, 210484, 213211, 215341, 218106, 222403, 223769, 226985, 228856, 233072, 238881, 242142, 245059, 247969, 250180, 251826, 252901, 254276, 256962, 258896, 265391, 269492, 269708, 270306, 272441, 274001, 274467, 280194, 282186, 282188, 284341, 285334, 288714, 290288, 296054, 297929, 299540, 302379, 315397, 316895, 320806, 324797, 327617, 340678, 341341, 343259, 343449, 362274, 378736, 381380, 392562, 392807, 398652, 401971, 404047, 407441, 408037, 412376, 413059, 431316, 432898, 443524, 454219, 460771, 468467, 474879, 479396, 480373, 488754, 491014, 493696, 497772, 500915, 505184, 506445, 511024, 514478, 516054, 538951, 542277, 545337, 554567, 563868, 573796, 580458, 580580, 592916, 599245, 600505, 604581, 604772, 605523, 666558, 727526, 742430, 758591, 875487]",134, 4125,2017-02-28,50-65,0.0,134,50-65,['RECHARGE LAVAGE TW - A']
78,"[100715, 176337, 220808, 223729, 239757, 245180, 266458, 340670, 367218, 369769, 380150, 430968, 464331, 584447, 868242]",15, 2797,2017-02-28,50-65,0.0,15,50-65,['COCA COLA 50CL PET']
79,"[343449, 349161, 364804, 422405, 516709, 518130]",6, 2134,2017-02-28,50-65,0.0,6,50-65,['TW  LAVE GLACE H 4L']
80,"[123777, 171664, 187833, 198513, 380150, 518210, 576233, 584447]",8, 721,2017-02-28,50-65,0.0,8,50-65,['BD. PAIN CHOCOLAT PAC']
81,"[187833, 518210, 576233, 584447]",4, 721 1622,2017-02-28,50-65,0.0,4,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR PAIN AU CHOCOLAT']"
82,"[122584, 352928, 385584, 523766]",4, 1853,2017-02-28,50-65,0.0,4,50-65,['CR SANDWICH VOL']
83,"[270204, 296939, 309677, 384261, 513322, 562319, 622174]",7, 1531,2017-02-28,50-65,0.0,7,50-65,[]
84,"[245076, 357820, 395817, 410425, 493156, 550155, 594619, 744146]",8, 4137,2017-02-28,50-65,0.0,8,50-65,['REC LAVAGE PJE 97 U']
85,"[101105, 149020, 224522, 557871, 787610]",5, 4104,2017-02-28,50-65,0.0,5,50-65,['LAVAGE 6 PLEIN TARIF']
86,"[157573, 223363, 296110, 400374, 457187, 469830, 525118, 623497]",8, 4101,2017-02-28,50-65,0.0,8,50-65,['LAVAGE 4 PLEIN']
87,"[131402, 247754, 252210, 276369, 411677, 513322, 584447, 768959]",8, 3510,2017-02-28,50-65,0.0,8,50-65,['CRISTALINE 1.5L']
88,"[294969, 527643, 536284]",3, 3307 1547,2017-02-28,50-65,0.0,3,50-65,"['MEGA VENNOIS PO', 'SAC BOUTIQUE KRAFT']"
89,"[261458, 294969, 380150, 407924, 527643, 536284]",6, 3307,2017-02-28,50-65,0.0,6,50-65,['MEGA VENNOIS PO']
90,"[187833, 370216, 380829, 584447]",4, 1669,2017-02-28,50-65,0.0,4,50-65,['CR PAIN AUX RAISINS']
91,"[141207, 167840, 172560, 356654, 435521, 527983]",6, 6722,2017-02-28,50-65,0.0,6,50-65,['SAN PELLEGRINO 1L']
92,"[109954, 130799, 156268, 227535, 355952, 471775, 541665, 559542, 569279, 584447]",10, 5941,2017-02-28,50-65,0.0,10,50-65,['COCA COLA SLIM']
93,"[106150, 125798, 181639, 356654, 428202, 661827]",6, 3334,2017-02-28,50-65,0.0,6,50-65,['SALADE MANHATTA']
94,"[100577, 120248, 121128, 129748, 164308, 192277, 344630, 450212, 469830]",9, 4132,2017-02-28,50-65,0.0,9,50-65,['LAVAGE 3 PLEIN']
95,"[204029, 236540, 281486, 305343, 308124, 348997, 417969, 428202, 448285, 453671, 526400]",11, 2369,2017-02-28,50-65,0.0,11,50-65,['EVIAN 1L PET*']
96,"[204029, 286729, 525249]",3, 687 1615,2017-02-28,50-65,0.0,3,50-65,"['CR BADOIT BTLL', 'CR FLAN NATURE']"
97,"[111738, 116969, 140423, 204029, 263990, 278763, 286729, 298971, 525249]",9, 687,2017-02-28,50-65,0.0,9,50-65,['CR BADOIT BTLL']
98,"[204046, 240409, 287131, 346475, 388202, 407187, 435521, 467225, 480061, 488785, 558685, 619649]",12, 4128,2017-02-28,50-65,0.0,12,50-65,['REC LAVAGE PJE 35U']
99,"[124990, 141207, 278763, 308124, 352928, 383585, 429540, 463457, 466946, 542068, 868242]",11, 3275,2017-02-28,50-65,0.0,11,50-65,['SDW CLA JBON BEURRE 125G']
100,"[124990, 140591, 167298, 233959, 241319, 252210, 266265, 274836, 278763, 435521, 467917, 527643]",12, 6723,2017-02-28,50-65,0.0,12,50-65,['SAN PELLEGRINO  50CL']
101,"[204029, 243973, 261458, 286729, 352928, 525249, 584447, 752568]",8, 1615,2017-02-28,50-65,0.0,8,50-65,['CR FLAN NATURE']
102,"[100715, 294969, 536284]",3, 3509 1547,2017-02-28,50-65,0.0,3,50-65,"['CRISTALINE 50CL', 'SAC BOUTIQUE KRAFT']"
103,"[100715, 106150, 149428, 159853, 162167, 251477, 294969, 369769, 532721, 536284, 540994, 774609]",12, 3509,2017-02-28,50-65,0.0,12,50-65,['CRISTALINE 50CL']
104,"[174525, 200887, 216415, 235938, 243973, 252444, 287788, 306745, 331273, 472186, 480373, 599245, 659309, 747927]",14, 5929,2017-02-28,50-65,0.0,14,50-65,['COCA COLA ZERO']
105,"[123777, 518210, 584447]",3, 721 1738,2017-02-28,50-65,0.0,3,50-65,"['BD. PAIN CHOCOLAT PAC', 'CR CAFE EXPRESSO']"
106,"[101749, 104047, 106150, 106410, 107463, 108029, 109498, 111890, 114449, 115022, 121128, 121192, 121730, 125579, 129390, 131348, 134631, 139649, 140121, 140784, 146263, 147333, 147495, 149419, 151893, 153358, 157310, 157561, 159035, 160962, 160985, 163920, 169447, 171423, 173033, 173120, 173559, 177933, 186974, 195864, 198697, 200525, 200564, 200887, 205440, 205793, 206673, 209886, 220306, 220763, 221900, 229711, 233592, 236608, 237181, 239503, 239730, 239835, 240997, 242913, 248818, 249024, 251428, 251719, 253520, 253597, 255658, 256540, 257154, 258658, 261240, 264012, 264230, 265391, 266150, 267277, 267366, 271640, 271964, 272184, 272307, 272341, 274316, 274953, 277799, 278140, 278990, 283101, 285365, 285995, 287608, 290616, 292888, 293965, 294323, 296181, 297997, 298543, 298776, 299637, 307359, 307966, 308866, 315727, 321596, 321730, 323804, 325354, 327179, 327351, 328086, 331082, 333674, 348380, 364804, 365101, 367552, 369474, 371266, 373648, 373931, 379576, 383055, 384013, 392833, 396674, 406437, 409076, 410571, 416080, 419944, 426000, 427626, 428273, 432924, 436854, 450212, 459035, 462236, 467113, 468396, 470752, 475253, 478530, 480061, 481080, 481492, 484073, 484230, 490639, 493195, 495387, 514067, 515329, 516884, 520056, 521769, 523013, 524408, 534226, 535047, 535224, 535916, 536398, 540476, 541273, 545082, 545540, 555151, 569508, 570365, 598063, 604433, 606281, 606450, 608366, 612284, 613209, 616311, 621494, 623541, 627182, 649774, 653959, 657123, 670760, 684671, 685988, 686964, 703490, 721420, 727800, 730652, 875200, 883193]",195, 4126,2017-02-28,50-65,0.0,195,50-65,['RECHARGE LAVAGE']
107,"[101105, 521161, 557871]",3, 1846,2017-02-28,50-65,0.0,3,50-65,[]
108,"[180086, 363005, 616311, 876768]",4, 2191,2017-02-28,50-65,0.0,4,50-65,['TW DEMOUST ANTI FIENTES 500ML']
109,"[349530, 365900, 475419, 520893, 525660]",5, 4132,2017-02-28,<35,0.0,5,<35,['LAVAGE 3 PLEIN']
110,"[386924, 489345, 540798, 572029, 887504]",5, 4128,2017-02-28,<35,0.0,5,<35,['REC LAVAGE PJE 35U']
111,"[581812, 592625, 735292]",3, 2363,2017-02-28,<35,0.0,3,<35,"['EVIAN 1,5L']"
112,"[380551, 488635, 550509, 563165]",4, 6972,2017-02-28,<35,0.0,4,<35,['RED BULL 473ML']
113,"[334123, 353744, 356905, 442238, 474302, 882052]",6, 4127,2017-02-28,<35,0.0,6,<35,['REC LAVAGE PJE  20 U']
114,"[324156, 485938, 573956, 584492, 708709, 870197]",6, 1531,2017-02-28,<35,0.0,6,<35,[]
115,"[339292, 491709, 517856, 524493, 588938, 595924]",6, 4074,2017-02-28,<35,0.0,6,<35,['BIDON AD BLUE 10L']
116,"[600864, 735292, 755557]",3, 1759,2017-02-28,<35,0.0,3,<35,['POWERADE ICE ST']
117,"[513774, 591423, 624767]",3, 4135,2017-02-28,<35,0.0,3,<35,['LAVAGE HP']
118,"[404654, 473266, 735292]",3, 2369 1547,2017-02-28,<35,0.0,3,<35,"['EVIAN 1L PET*', 'SAC BOUTIQUE KRAFT']"
119,"[404654, 473266, 486278, 600864, 610511, 735292]",6, 2369,2017-02-28,<35,0.0,6,<35,['EVIAN 1L PET*']
120,"[541016, 592625, 610511]",3, 5806,2017-02-28,<35,0.0,3,<35,['MONSTER ENERGY']
121,"[376322, 407537, 610511]",3, 3275,2017-02-28,<35,0.0,3,<35,['SDW CLA JBON BEURRE 125G']
122,"[241671, 513774, 599293, 624767, 740965]",5, 4130,2017-02-28,<35,0.0,5,<35,['ASPIRATEUR']
123,"[316534, 407537, 488798, 521874, 652088, 697228, 839184]",7, 3509,2017-02-28,<35,0.0,7,<35,['CRISTALINE 50CL']
124,"[344483, 421341, 427698, 447084, 472987, 568863, 610511, 624470, 626162, 739860, 848915]",11, 2797,2017-02-28,<35,0.0,11,<35,['COCA COLA 50CL PET']
125,"[554234, 610511, 626162, 735292]",4, 5929,2017-02-28,<35,0.0,4,<35,['COCA COLA ZERO']
126,"[168332, 386618, 465110, 483791, 484505, 515602, 515864, 535895, 587277, 588236, 610511, 622143, 784863]",13, 4136,2017-02-28,<35,0.0,13,<35,['RECHARGE LAVAGE TW - D']
127,"[358016, 560139, 591620, 740166, 877064]",5, 2645,2017-02-28,<35,0.0,5,<35,['PULCO CITRONNADE 50CL']
128,"[602649, 735292, 761107]",3, 1547 263,2017-02-28,<35,0.0,3,<35,"['REMISE BUS AUTOROUTE 9\x80', 'SAC BOUTIQUE KRAFT']"
129,"[235939, 380551, 404654, 473266, 477263, 575745, 602649, 735292, 761107]",9, 1547,2017-02-28,<35,0.0,9,<35,['SAC BOUTIQUE KRAFT']
130,"[367928, 379152, 427229, 444023, 531565, 610511, 619463, 877064]",8, 6969,2017-02-28,<35,0.0,8,<35,['RED BULL BTE 25CL']
131,"[167077, 313520, 382915, 430029, 439245, 473870, 490840, 496995, 498613, 515602, 536441, 587523, 590694, 611043, 704816, 718355, 733998]",17, 2946,2017-02-28,<35,0.0,17,<35,['TW  LAVE GLACE']
132,"[326027, 385744, 433916, 552050, 591423]",5, 5941,2017-02-28,<35,0.0,5,<35,['COCA COLA SLIM']
133,"[602649, 619463, 735292, 754772, 761107]",5, 263,2017-02-28,<35,0.0,5,<35,['REMISE BUS AUTOROUTE 9\x80']
134,"[281283, 528601, 624545]",3, 431,2017-02-28,<35,0.0,3,<35,['CAFE EXPRESSO']
135,"[451156, 603204, 872971]",3, 1622,2017-02-28,<35,0.0,3,<35,['CR PAIN AU CHOCOLAT']
137,"[241230, 251002, 262270]",3, 4137,2017-02-28,>65,0.0,3,>65,['REC LAVAGE PJE 97 U']
138,"[290818, 602830, 612288]",3, 4132,2017-02-28,>65,0.0,3,>65,['LAVAGE 3 PLEIN']
139,"[124913, 349205, 522852]",3, 285,2017-02-28,>65,0.0,3,>65,[]
140,"[170515, 226026, 414077, 592027]",4, 5941,2017-02-28,>65,0.0,4,>65,['COCA COLA SLIM']
141,"[111896, 130756, 149993, 187465, 791064]",5, 4136,2017-02-28,>65,0.0,5,>65,['RECHARGE LAVAGE TW - D']
142,"[103556, 268921, 276275]",3, 64,2017-02-28,>65,0.0,3,>65,[]
143,"[123035, 124893, 163878, 171620, 205363, 205463, 601992]",7, 4125,2017-02-28,>65,0.0,7,>65,['RECHARGE LAVAGE TW - A']
144,"[135030, 165109, 171728, 180493, 250397, 291261, 320242, 557428, 631511, 640667, 640984]",11, 4126,2017-02-28,>65,0.0,11,>65,['RECHARGE LAVAGE']
145,"[517696, 575745, 590913]",3, 6990,2017-02-28,<35,0.0,3,<35,['PAGO FRAISE 33C']
146,"[316534, 472987, 534303]",3, 5752,2017-02-28,<35,0.0,3,<35,['PRINGLES ORIGIN']
147,"[168332, 537653, 610511]",3, 5607,2017-02-28,<35,0.0,3,<35,['COCA COLA ZERO 50CL PET']
148,"[168332, 488635, 655483]",3, 4303,2017-02-28,<35,0.0,3,<35,['MINI STICKS ROQUEFORT&NOIX 100G']
149,"[377865, 570069, 871314]",3, 4131,2017-02-28,<35,0.0,3,<35,['LAVAGE 2 PLEIN TARIF']
150,"[376322, 477263, 600864]",3, 3639,2017-02-28,<35,0.0,3,<35,['YOP VANILLE 500G']
151,"[608489, 610511, 740965]",3, 2918,2017-02-28,<35,0.0,3,<35,['TW MICROFIBRE  MULTI USAGE']
152,"[473870, 480133, 608489]",3, 2911,2017-02-28,<35,0.0,3,<35,['TW 16 LINGETTES PLASTIQUES']
153,"[447204, 590913, 610511]",3, 2633,2017-02-28,<35,0.0,3,<35,['OASIS TROPICAL PET 50CL']
154,"[576237, 597316, 865102]",3, 1533,2017-02-28,<35,0.0,3,<35,[]
155,"[281283, 353744, 624545]",3, 1393,2017-02-28,<35,0.0,3,<35,['BD CAFE CREME']
156,"[602649, 735292, 754772]",3, 5849 263,2017-02-28,<35,0.0,3,<35,"['REMISE BUS AUTOROUTE 9\x80', 'TROPICANA ORANGE SS PULPE 1L']"
