,user_ids,support,itemsets,period,property_values,depth,size,SEX,itemset_name
0,"[111958, 115022, 120734, 188588, 197718, 295941, 312415, 346289, 384876, 419058, 422349, 444316, 447321, 495684, 591109, 600407, 609497, 834357, 841409, 1027715, 1033497, 1039714, 1044608]",23, 4126 4112,2019-01-02,M,0.0,23,M,"['RECHARGE LAVAGE', 'LAVAGE CLU']"
1,"[120734, 144205, 171799, 278491, 313472, 339445, 341341, 372225, 422151, 434088, 463969, 492488, 524668, 535243, 618347, 794690, 844897, 873625, 881662, 900910, 901313, 999970, 1019603, 1037938, 1039714, 1085236, 1165483, 1170642, 1201029, 1210145]",30, 4125 4112,2019-01-02,M,0.0,30,M,"['RECHARGE LAVAGE TW - A', 'LAVAGE CLU']"
2,"[120734, 281256, 553151, 606450, 897112, 1039714]",6, 4125 4126,2019-01-02,M,0.0,6,M,"['RECHARGE LAVAGE TW - A', 'RECHARGE LAVAGE']"
3,"[107030, 132500, 149963, 235297, 449529, 463969, 612824, 1198352]",8, 163 4112,2019-01-02,M,0.0,8,M,"['product-451', 'LAVAGE CLU']"
4,"[149963, 235297, 308992, 346289, 378200, 449529, 612824, 1198352]",8, 1538 4112,2019-01-02,M,0.0,8,M,"['RECHARGE CAFÉ CLUB 2\x80', 'LAVAGE CLU']"
5,"[114666, 127790, 149963, 156634, 187833, 235297, 235462, 244827, 251568, 270220, 292347, 368080, 403445, 427096, 449529, 464331, 552846, 567220, 602580, 603391, 607784, 612824, 616689, 739860, 746930, 751640, 903640, 957469, 1095891, 1163691, 1166148, 1168767, 1171591, 1180756, 1196697, 1198352, 1205586, 1221607]",38, 1538 163,2019-01-02,M,0.0,38,M,"['RECHARGE CAFÉ CLUB 2\x80', 'product-451']"
6,"[149963, 235297, 449529, 612824, 1198352]",5, 1538 163 4112,2019-01-02,M,0.0,5,M,"['RECHARGE CAFÉ CLUB 2\x80', 'product-451', 'LAVAGE CLU']"
7,"[120286, 338042, 422349, 499991, 1215438]",5, 4074 4112,2019-01-02,M,0.0,5,M,"['BIDON AD BLUE 10L', 'LAVAGE CLU']"
8,"[287608, 288685, 422349, 1044582]",4, 4074 4126,2019-01-02,M,0.0,4,M,"['BIDON AD BLUE 10L', 'RECHARGE LAVAGE']"
9,"[141943, 168379, 238281, 280966, 397622, 400253, 422349, 546857, 711978]",9, 2968 4112,2019-01-02,M,0.0,9,M,"['TW 10 LINGUETTE', 'LAVAGE CLU']"
10,"[279979, 351013, 475803, 527677, 594666]",5, 2968 4125,2019-01-02,M,0.0,5,M,"['TW 10 LINGUETTE', 'RECHARGE LAVAGE TW - A']"
11,"[356217, 364804, 492488, 528848, 546857, 731874, 827754, 882335]",8, 2946 4112,2019-01-02,M,0.0,8,M,"['TW  LAVE GLACE', 'LAVAGE CLU']"
12,"[105047, 126277, 211111, 287608, 307359, 541273]",6, 2946 4126,2019-01-02,M,0.0,6,M,"['TW  LAVE GLACE', 'RECHARGE LAVAGE']"
13,"[197039, 223220, 482699, 492488, 1067295]",5, 2946 4125,2019-01-02,M,0.0,5,M,"['TW  LAVE GLACE', 'RECHARGE LAVAGE TW - A']"
14,"[287608, 439383, 887624, 1000560, 1023819]",5, 2946 4074,2019-01-02,M,0.0,5,M,"['TW  LAVE GLACE', 'BIDON AD BLUE 10L']"
15,"[132500, 226621, 248627, 357674, 401082, 460889, 495206, 499532, 825683]",9, 2368 4112,2019-01-02,M,0.0,9,M,"['EVIAN 50CL', 'LAVAGE CLU']"
16,"[345301, 1068315, 1095721]",3, 2368 4125,2019-01-02,M,0.0,3,M,"['EVIAN 50CL', 'RECHARGE LAVAGE TW - A']"
17,"[115022, 130019, 312415, 410397]",4, 2975 4112,2019-01-02,M,0.0,4,M,"['TW LAVE GLACE DEG. 4L', 'LAVAGE CLU']"
18,"[105047, 115022, 312415, 539446, 864313]",5, 2975 4126,2019-01-02,M,0.0,5,M,"['TW LAVE GLACE DEG. 4L', 'RECHARGE LAVAGE']"
19,"[120734, 252184, 341101, 357820, 447321]",5, 4136 4112,2019-01-02,M,0.0,5,M,"['RECHARGE LAVAGE TW - D', 'LAVAGE CLU']"
20,"[120286, 456790, 476566, 662382]",4, 2369 4112,2019-01-02,M,0.0,4,M,"['EVIAN 1L PET*', 'LAVAGE CLU']"
21,"[184841, 527677, 626163, 873625]",4, 4130 4125,2019-01-02,M,0.0,4,M,"['ASPIRATEUR', 'RECHARGE LAVAGE TW - A']"
22,"[995860, 1047955, 1082751, 1179263]",4, 1547 263,2019-01-02,M,0.0,4,M,"['SAC BOUTIQUE KRAFT', 'REMISE BUS AUTOROUTE 9\x80']"
23,"[255407, 711978, 825683]",3, 5623 4112,2019-01-02,M,0.0,3,M,"['SNICKERS 50G', 'LAVAGE CLU']"
24,"[255407, 711978, 1034893]",3, 5631 5623,2019-01-02,M,0.0,3,M,"['TWIX 50G', 'SNICKERS 50G']"
25,"[988692, 998545, 1179263]",3, 891 263,2019-01-02,M,0.0,3,M,"['product-5401047', 'REMISE BUS AUTOROUTE 9\x80']"
26,"[283016, 307210, 1182692]",3, 2362 1547,2019-01-02,M,0.0,3,M,"['EVIAN FREERIDE 75 CL', 'SAC BOUTIQUE KRAFT']"
27,"[531053, 1007975, 1082751]",3, 4439 263,2019-01-02,M,0.0,3,M,"['product-3502110009449', 'REMISE BUS AUTOROUTE 9\x80']"
28,"[305678, 346289, 624828, 864313, 1039534]",5, 6178 4126,2019-01-02,M,0.0,5,M,"['product-6206300218860', 'RECHARGE LAVAGE']"
29,"[195200, 313776, 387373, 829305]",4, 6178 4125,2019-01-02,M,0.0,4,M,"['product-6206300218860', 'RECHARGE LAVAGE TW - A']"
30,"[217797, 319461, 339977, 566577, 594866, 711978]",6, 1707 5631,2019-01-02,M,0.0,6,M,"['BOUNTY CHOC LAIT 57G', 'TWIX 50G']"
31,"[400788, 836821, 1015669, 1160568]",4, 4099 4125,2019-01-02,M,0.0,4,M,"['LAVAGE 1 PLEIN', 'RECHARGE LAVAGE TW - A']"
32,"[255407, 319461, 339977, 711978]",4, 5625 5631,2019-01-02,M,0.0,4,M,"['MARS  51G', 'TWIX 50G']"
33,"[319461, 339977, 711978]",3, 5625 1707 5631,2019-01-02,M,0.0,3,M,"['MARS  51G', 'BOUNTY CHOC LAIT 57G', 'TWIX 50G']"
34,"[177556, 236734, 325241]",3, 2134 4126,2019-01-02,M,0.0,3,M,"['TW  LAVE GLACE H 4L', 'RECHARGE LAVAGE']"
35,"[873625, 1105168, 1178332]",3, 4135 4130,2019-01-02,M,0.0,3,M,"['LAVAGE HP', 'ASPIRATEUR']"
36,"[531053, 555714, 1052503]",3, 4420 263,2019-01-02,M,0.0,3,M,"['TROPICANA MULTI', 'REMISE BUS AUTOROUTE 9\x80']"
37,"[364658, 624828, 636458]",3, 721 1622,2019-01-02,M,0.0,3,M,"['BD. PAIN CHOCOLAT PAC', 'CR PAIN AU CHOCOLAT']"
38,"[179988, 369718, 410397, 864313, 887891]",5, 2977 2975,2019-01-02,M,0.0,5,M,"['product-3217770314245', 'TW LAVE GLACE DEG. 4L']"
39,"[286391, 988692, 1052503]",3, 3876 263,2019-01-02,M,0.0,3,M,"['SDW XXL THON CRUD 230G DAUNAT', 'REMISE BUS AUTOROUTE 9\x80']"
40,"[253255, 348948, 470752]",3, 4638 4136,2019-01-02,M,0.0,3,M,"['NEOCLEAN JANTES', 'RECHARGE LAVAGE TW - D']"
41,"[1007975, 1014685, 1082751]",3, 3437 263,2019-01-02,M,0.0,3,M,"['PITCH CHOCOLAT X4 PASQUIER', 'REMISE BUS AUTOROUTE 9\x80']"
42,"[393334, 716869, 806597]",3, 1615 1738,2019-01-02,M,0.0,3,M,"['CR FLAN NATURE', 'CR CAFE EXPRESSO']"
43,"[176214, 176862, 724438]",3, 1825 389,2019-01-02,M,0.0,3,M,"['MALBORO', 'MARLBORO']"
44,"[208285, 516464, 829955]",3, 6356 269,2019-01-02,M,0.0,3,M,"['GRANOLA BROWNIE', 'product-8860']"
45,"[118478, 244827, 739860, 1095891, 1109186, 1163691, 1171591]",7, 163 4112,2019-01-17,M,0.5,7,M,"['product-451', 'LAVAGE CLU']"
46,"[113875, 138682, 184660, 193333, 230440, 237374, 245076, 280999, 287754, 323762, 332635, 406056, 414193, 433003, 447717, 450776, 451301, 470752, 487798, 500694, 576712, 598952, 711308, 866133, 911353, 1027715, 1102327, 1108350, 1109301, 1217273]",30, 4126 4112,2019-01-17,M,0.5,30,M,"['RECHARGE LAVAGE', 'LAVAGE CLU']"
47,"[118478, 244827, 280999, 346289, 427779, 739860, 1061637, 1095891, 1163691, 1171591]",10, 1538 4112,2019-01-17,M,0.5,10,M,"['RECHARGE CAFÉ CLUB 2\x80', 'LAVAGE CLU']"
48,"[107030, 108938, 114666, 118478, 127760, 127790, 133892, 156634, 205109, 235297, 244827, 261384, 270220, 368080, 421137, 427250, 437004, 460228, 483533, 523545, 603391, 607784, 612824, 616689, 739860, 746930, 903640, 957469, 999796, 1095891, 1163691, 1166148, 1167207, 1168767, 1171591, 1180756, 1198352, 1205586, 1234306, 1236675]",40, 1538 163,2019-01-17,M,0.5,40,M,"['RECHARGE CAFÉ CLUB 2\x80', 'product-451']"
49,"[118478, 244827, 739860, 1095891, 1163691, 1171591]",6, 1538 163 4112,2019-01-17,M,0.5,6,M,"['RECHARGE CAFÉ CLUB 2\x80', 'product-451', 'LAVAGE CLU']"
50,"[107874, 109363, 118554, 150382, 178285, 240151, 274742, 361281, 372038, 401971, 421208, 425951, 454219, 456040, 473727, 480373, 502923, 511792, 524978, 543430, 549247, 558934, 784556, 833102, 911353, 915084, 1109294, 1216244]",28, 4125 4112,2019-01-17,M,0.5,28,M,"['RECHARGE LAVAGE TW - A', 'LAVAGE CLU']"
51,"[132253, 315579, 712041, 732484, 762882, 911353, 1037370]",7, 4125 4126,2019-01-17,M,0.5,7,M,"['RECHARGE LAVAGE TW - A', 'RECHARGE LAVAGE']"
52,"[107874, 222551, 340199, 369391, 437974, 451301, 542397, 576712, 948321]",9, 2946 4112,2019-01-17,M,0.5,9,M,"['TW  LAVE GLACE', 'LAVAGE CLU']"
53,"[184838, 349408, 352980, 406750, 451301, 576712, 835212, 1234579]",8, 2946 4126,2019-01-17,M,0.5,8,M,"['TW  LAVE GLACE', 'RECHARGE LAVAGE']"
54,"[107874, 165402, 194077, 461997, 549038]",5, 2946 4125,2019-01-17,M,0.5,5,M,"['TW  LAVE GLACE', 'RECHARGE LAVAGE TW - A']"
55,"[301402, 437974, 465771, 528757, 549247, 876531]",6, 4074 4112,2019-01-17,M,0.5,6,M,"['BIDON AD BLUE 10L', 'LAVAGE CLU']"
56,"[150817, 276372, 437974, 499303]",4, 4074 2946,2019-01-17,M,0.5,4,M,"['BIDON AD BLUE 10L', 'TW  LAVE GLACE']"
57,"[163869, 169206, 372038, 498529, 833102, 1159078]",6, 2975 4112,2019-01-17,M,0.5,6,M,"['TW LAVE GLACE DEG. 4L', 'LAVAGE CLU']"
58,"[344157, 372038, 401551, 477520, 833102]",5, 2975 4125,2019-01-17,M,0.5,5,M,"['TW LAVE GLACE DEG. 4L', 'RECHARGE LAVAGE TW - A']"
59,"[555714, 988692, 995860]",3, 263 163,2019-01-17,M,0.5,3,M,"['REMISE BUS AUTOROUTE 9\x80', 'product-451']"
60,"[361281, 381808, 433003, 1049044]",4, 2368 4112,2019-01-17,M,0.5,4,M,"['EVIAN 50CL', 'LAVAGE CLU']"
61,"[252901, 361281, 912051]",3, 2368 4125,2019-01-17,M,0.5,3,M,"['EVIAN 50CL', 'RECHARGE LAVAGE TW - A']"
62,"[152186, 320498, 501153]",3, 2368 2975,2019-01-17,M,0.5,3,M,"['EVIAN 50CL', 'TW LAVE GLACE DEG. 4L']"
63,"[323046, 473727, 502923, 711308, 1109301]",5, 2968 4112,2019-01-17,M,0.5,5,M,"['TW 10 LINGUETTE', 'LAVAGE CLU']"
64,"[287131, 711308, 1109301]",3, 2968 4126,2019-01-17,M,0.5,3,M,"['TW 10 LINGUETTE', 'RECHARGE LAVAGE']"
65,"[473727, 502923, 506632, 510699]",4, 2968 4125,2019-01-17,M,0.5,4,M,"['TW 10 LINGUETTE', 'RECHARGE LAVAGE TW - A']"
66,"[186860, 312801, 376613, 545368, 887828]",5, 4136 4112,2019-01-17,M,0.5,5,M,"['RECHARGE LAVAGE TW - D', 'LAVAGE CLU']"
67,"[348948, 434234, 961949]",3, 4136 2946,2019-01-17,M,0.5,3,M,"['RECHARGE LAVAGE TW - D', 'TW  LAVE GLACE']"
68,"[734723, 988692, 995860, 1103098]",4, 1547 163,2019-01-17,M,0.5,4,M,"['SAC BOUTIQUE KRAFT', 'product-451']"
69,"[988692, 989025, 995860, 1014685, 1036452, 1082751, 1179263]",7, 1547 263,2019-01-17,M,0.5,7,M,"['SAC BOUTIQUE KRAFT', 'REMISE BUS AUTOROUTE 9\x80']"
70,"[402443, 934626, 1026604]",3, 5625 4112,2019-01-17,M,0.5,3,M,"['MARS  51G', 'LAVAGE CLU']"
71,"[320242, 369391, 404019, 560724, 911353]",5, 4750 4112,2019-01-17,M,0.5,5,M,"['GANTS MANUTENTION', 'LAVAGE CLU']"
72,"[146201, 238881, 911353]",3, 4750 4125,2019-01-17,M,0.5,3,M,"['GANTS MANUTENTION', 'RECHARGE LAVAGE TW - A']"
73,"[413192, 573366, 599279, 704970]",4, 2139 2946,2019-01-17,M,0.5,4,M,"['TW DEGIVRANT 40', 'TW  LAVE GLACE']"
74,"[401551, 596052, 1013535]",3, 2947 2975,2019-01-17,M,0.5,3,M,"['TW  LAVE GLACE -30 4L', 'TW LAVE GLACE DEG. 4L']"
75,"[140093, 169206, 176862, 218498, 241682, 249449, 305419, 305678, 344157, 345337, 372038, 389823, 399691, 401551, 477520, 501153, 510225, 556927, 582622, 795191, 964983]",21, 2977 2975,2019-01-17,M,0.5,21,M,"['product-3217770314245', 'TW LAVE GLACE DEG. 4L']"
76,"[344157, 372038, 401551, 477520]",4, 2977 4125 2975,2019-01-17,M,0.5,4,M,"['product-3217770314245', 'RECHARGE LAVAGE TW - A', 'TW LAVE GLACE DEG. 4L']"
77,"[162796, 523099, 524978, 932199]",4, 4127 4112,2019-01-17,M,0.5,4,M,"['REC LAVAGE PJE  20 U', 'LAVAGE CLU']"
78,"[180952, 482021, 525126]",3, 5754 4112,2019-01-17,M,0.5,3,M,"['product-5050100000924', 'LAVAGE CLU']"
79,"[1014685, 1016894, 1036452]",3, 2797 1547,2019-01-17,M,0.5,3,M,"['COCA COLA 50CL PET', 'SAC BOUTIQUE KRAFT']"
80,"[518759, 596217, 680791]",3, 5607 263,2019-01-17,M,0.5,3,M,"['COCA COLA ZERO 50CL PET', 'REMISE BUS AUTOROUTE 9\x80']"
81,"[449026, 1063727, 1204589]",3, 5623 5625,2019-01-17,M,0.5,3,M,"['SNICKERS 50G', 'MARS  51G']"
82,"[232805, 363786, 449026]",3, 5623 5754,2019-01-17,M,0.5,3,M,"['SNICKERS 50G', 'product-5050100000924']"
83,"[127760, 205109, 603391, 616689, 705599]",5, 1532 1538,2019-01-17,M,0.5,5,M,"['product-12520046', 'RECHARGE CAFÉ CLUB 2\x80']"
84,"[127760, 205109, 603391, 616689]",4, 1532 1538 163,2019-01-17,M,0.5,4,M,"['product-12520046', 'RECHARGE CAFÉ CLUB 2\x80', 'product-451']"
85,"[574634, 752568, 1014685, 1082751]",4, 3437 263,2019-01-17,M,0.5,4,M,"['PITCH CHOCOLAT X4 PASQUIER', 'REMISE BUS AUTOROUTE 9\x80']"
86,"[531053, 1082751, 1162191]",3, 4439 263,2019-01-17,M,0.5,3,M,"['product-3502110009449', 'REMISE BUS AUTOROUTE 9\x80']"
87,"[363786, 551221, 865871]",3, 6796 5623,2019-01-17,M,0.5,3,M,"['CHUPA CHUPS  UN', 'SNICKERS 50G']"
88,"[325873, 913464, 916245]",3, 891 431,2019-01-17,M,0.5,3,M,"['product-5401047', 'CAFE EXPRESSO']"
89,"[531053, 998545, 1082751, 1179263]",4, 4420 263,2019-01-17,M,0.5,4,M,"['TROPICANA MULTI', 'REMISE BUS AUTOROUTE 9\x80']"
90,"[156974, 995860, 1213768]",3, 6723 1547,2019-01-17,M,0.5,3,M,"['SAN PELLEGRINO  50CL', 'SAC BOUTIQUE KRAFT']"
91,"[275978, 528757, 869865]",3, 2180 4112,2019-01-17,M,0.5,3,M,"['ADBLUE BIDON 5L', 'LAVAGE CLU']"
92,"[518911, 963615, 971894]",3, 4145 431,2019-01-17,M,0.5,3,M,"['BUS AUTOROUTE R', 'CAFE EXPRESSO']"
93,"[556301, 686138, 913464]",3, 1378 431,2019-01-17,M,0.5,3,M,"['BD PAIN RAISIN', 'CAFE EXPRESSO']"
94,"[344702, 734723, 988692]",3, 3737 1547,2019-01-17,M,0.5,3,M,"['TRANC MIMO 200G DM', 'SAC BOUTIQUE KRAFT']"
95,"[346289, 603391, 616689]",3, 4149 1538,2019-01-17,M,0.5,3,M,"['CADEAU JAUGE TR', 'RECHARGE CAFÉ CLUB 2\x80']"
96,"[339428, 477520, 480373, 881500]",4, 6175 4125,2019-01-17,M,0.5,4,M,"['product-6206300138427', 'RECHARGE LAVAGE TW - A']"
97,"[240766, 405901, 457287]",3, 500 699,2019-01-17,M,0.5,3,M,"['CR TARTE PISTAC', 'product-3461039']"
98,"[315579, 963615, 1243675]",3, 970 431,2019-01-17,M,0.5,3,M,"['product-5430201', 'CAFE EXPRESSO']"
99,"[315579, 517260, 1243675]",3, 1120 431,2019-01-17,M,0.5,3,M,"['BD VITTEL PET 5', 'CAFE EXPRESSO']"
100,"[521885, 535929, 971894]",3, 1135 4145,2019-01-17,M,0.5,3,M,"['product-5461035', 'BUS AUTOROUTE R']"
101,"[103422, 110196, 133162, 133917, 141845, 142309, 149049, 156490, 162050, 169025, 173319, 185339, 253172, 253363, 257793, 281269, 300380, 323045, 334002, 335363, 367948, 387267, 397295, 407099, 410330, 414692, 429530, 452895, 496238, 535916, 547652, 572651, 591109, 599279, 607393, 611332, 624990, 679163, 878894, 932279, 1076144, 1209383]",42, 2968 4112,2019-02-01,M,0.6666666666666666,42,M,"['TW 10 LINGUETTE', 'LAVAGE CLU']"
102,"[105649, 157047, 164593, 191747, 220829, 263432, 298742, 356945, 377414, 432898, 482352, 535454, 551074, 558424, 576586, 614173, 675569, 679163, 965732, 1029030, 1064162, 1159100]",22, 4125 4112,2019-02-01,M,0.6666666666666666,22,M,"['RECHARGE LAVAGE TW - A', 'LAVAGE CLU']"
103,"[189419, 239835, 278491, 287447, 318322, 326483, 378436, 410397, 460756, 470805, 487513, 500915, 568859, 679163, 950786]",15, 4125 2968,2019-02-01,M,0.6666666666666666,15,M,"['RECHARGE LAVAGE TW - A', 'TW 10 LINGUETTE']"
104,"[106150, 141536, 183931, 185339, 188588, 193871, 229711, 240562, 264012, 266873, 290187, 296174, 340311, 342699, 352108, 368969, 397295, 426406, 429688, 450524, 464842, 489485, 504975, 508797, 525646, 535916, 541453, 544149, 550893, 591109, 591465, 609497, 611332, 768034, 808909, 827072, 902666, 927592, 1020856, 1104744, 1176485]",41, 4126 4112,2019-02-01,M,0.6666666666666666,41,M,"['RECHARGE LAVAGE', 'LAVAGE CLU']"
105,"[185339, 193677, 314863, 320843, 371168, 397295, 460756, 498303, 535916, 591109, 611332, 966086, 985590, 1083463, 1084492]",15, 4126 2968,2019-02-01,M,0.6666666666666666,15,M,"['RECHARGE LAVAGE', 'TW 10 LINGUETTE']"
106,"[185339, 397295, 535916, 591109, 611332]",5, 4126 2968 4112,2019-02-01,M,0.6666666666666666,5,M,"['RECHARGE LAVAGE', 'TW 10 LINGUETTE', 'LAVAGE CLU']"
107,"[274953, 315579, 460756, 616355, 897112, 1105168]",6, 4126 4125,2019-02-01,M,0.6666666666666666,6,M,"['RECHARGE LAVAGE', 'RECHARGE LAVAGE TW - A']"
108,"[108938, 381310, 403445, 957469, 1192664]",5, 163 4112,2019-02-01,M,0.6666666666666666,5,M,"['product-451', 'LAVAGE CLU']"
109,"[100194, 181607, 253363, 403445, 429688, 432898, 915181, 956393, 957469, 1015718]",10, 1538 4112,2019-02-01,M,0.6666666666666666,10,M,"['RECHARGE CAFÉ CLUB 2\x80', 'LAVAGE CLU']"
110,"[114666, 118478, 127790, 133892, 156634, 187833, 205109, 235297, 292347, 329014, 403445, 421137, 425954, 427096, 460228, 464331, 483533, 602580, 607784, 612824, 616689, 739860, 751640, 957469, 1095891, 1166148, 1167207, 1168767, 1171591, 1198352, 1205586]",31, 1538 163,2019-02-01,M,0.6666666666666666,31,M,"['RECHARGE CAFÉ CLUB 2\x80', 'product-451']"
111,"[157047, 253172, 311524, 388392, 448590, 598334, 605265, 624990, 1063550, 1111303]",10, 2946 4112,2019-02-01,M,0.6666666666666666,10,M,"['TW  LAVE GLACE', 'LAVAGE CLU']"
112,"[196749, 253172, 485421, 491154, 624990, 1033795]",6, 2946 2968,2019-02-01,M,0.6666666666666666,6,M,"['TW  LAVE GLACE', 'TW 10 LINGUETTE']"
113,"[157047, 343449, 460754, 1022740]",4, 2946 4125,2019-02-01,M,0.6666666666666666,4,M,"['TW  LAVE GLACE', 'RECHARGE LAVAGE TW - A']"
114,"[372038, 825168, 1031553]",3, 2946 4126,2019-02-01,M,0.6666666666666666,3,M,"['TW  LAVE GLACE', 'RECHARGE LAVAGE']"
115,"[101105, 173319, 349164]",3, 4074 4112,2019-02-01,M,0.6666666666666666,3,M,"['BIDON AD BLUE 10L', 'LAVAGE CLU']"
116,"[173319, 493464, 1215438]",3, 4074 2968,2019-02-01,M,0.6666666666666666,3,M,"['BIDON AD BLUE 10L', 'TW 10 LINGUETTE']"
117,"[121590, 193333, 459305, 460089, 463253, 872674]",6, 4074 2946,2019-02-01,M,0.6666666666666666,6,M,"['BIDON AD BLUE 10L', 'TW  LAVE GLACE']"
118,"[142309, 448779, 519736, 575826, 1073949, 1123076, 1200839]",7, 4136 4112,2019-02-01,M,0.6666666666666666,7,M,"['RECHARGE LAVAGE TW - D', 'LAVAGE CLU']"
119,"[142309, 427283, 479921, 541417]",4, 4136 2968,2019-02-01,M,0.6666666666666666,4,M,"['RECHARGE LAVAGE TW - D', 'TW 10 LINGUETTE']"
120,"[161912, 459305, 463253]",3, 4136 4074,2019-02-01,M,0.6666666666666666,3,M,"['RECHARGE LAVAGE TW - D', 'BIDON AD BLUE 10L']"
121,"[204046, 253363, 477001, 535916, 679163, 1111303]",6, 2368 4112,2019-02-01,M,0.6666666666666666,6,M,"['EVIAN 50CL', 'LAVAGE CLU']"
122,"[253363, 427283, 487513, 535916, 679163]",5, 2368 2968,2019-02-01,M,0.6666666666666666,5,M,"['EVIAN 50CL', 'TW 10 LINGUETTE']"
123,"[253363, 535916, 679163]",3, 2368 2968 4112,2019-02-01,M,0.6666666666666666,3,M,"['EVIAN 50CL', 'TW 10 LINGUETTE', 'LAVAGE CLU']"
124,"[171799, 403914, 487513, 493366, 679163]",5, 2368 4125,2019-02-01,M,0.6666666666666666,5,M,"['EVIAN 50CL', 'RECHARGE LAVAGE TW - A']"
125,"[380881, 401551, 464842, 899788, 1168652]",5, 2975 4112,2019-02-01,M,0.6666666666666666,5,M,"['TW LAVE GLACE DEG. 4L', 'LAVAGE CLU']"
126,"[196749, 541689, 932279]",3, 4129 2968,2019-02-01,M,0.6666666666666666,3,M,"['REC LAVAGE PJE', 'TW 10 LINGUETTE']"
127,"[341173, 631728, 899788, 1053562]",4, 2369 4112,2019-02-01,M,0.6666666666666666,4,M,"['EVIAN 1L PET*', 'LAVAGE CLU']"
128,"[410392, 528869, 1091502]",3, 4127 4112,2019-02-01,M,0.6666666666666666,3,M,"['REC LAVAGE PJE  20 U', 'LAVAGE CLU']"
129,"[184841, 594278, 873625]",3, 4130 4125,2019-02-01,M,0.6666666666666666,3,M,"['ASPIRATEUR', 'RECHARGE LAVAGE TW - A']"
130,"[988692, 1014685, 1058591, 1082751]",4, 1547 263,2019-02-01,M,0.6666666666666666,4,M,"['SAC BOUTIQUE KRAFT', 'REMISE BUS AUTOROUTE 9\x80']"
131,"[192624, 308900, 394811, 572087, 1024148]",5, 3510 4112,2019-02-01,M,0.6666666666666666,5,M,"['CRISTALINE 1.5L', 'LAVAGE CLU']"
132,"[133917, 453834, 625091]",3, 5531 4112,2019-02-01,M,0.6666666666666666,3,M,"['BOUNTY LAIT 3BO', 'LAVAGE CLU']"
133,"[574634, 1007975, 1014685]",3, 3437 263,2019-02-01,M,0.6666666666666666,3,M,"['PITCH CHOCOLAT X4 PASQUIER', 'REMISE BUS AUTOROUTE 9\x80']"
134,"[1014685, 1091926, 1245402]",3, 3437 1547,2019-02-01,M,0.6666666666666666,3,M,"['PITCH CHOCOLAT X4 PASQUIER', 'SAC BOUTIQUE KRAFT']"
135,"[254830, 996278, 1189216]",3, 6796 2968,2019-02-01,M,0.6666666666666666,3,M,"['CHUPA CHUPS  UN', 'TW 10 LINGUETTE']"
136,"[389258, 563868, 616355, 716095]",4, 4099 4125,2019-02-01,M,0.6666666666666666,4,M,"['LAVAGE 1 PLEIN', 'RECHARGE LAVAGE TW - A']"
137,"[132262, 220306, 1120037]",3, 2905 4126,2019-02-01,M,0.6666666666666666,3,M,"['TW PLASTIC BRIL', 'RECHARGE LAVAGE']"
138,"[381310, 515047, 551074]",3, 5631 4112,2019-02-01,M,0.6666666666666666,3,M,"['TWIX 50G', 'LAVAGE CLU']"
139,"[761107, 1036452, 1173969]",3, 5925 263,2019-02-01,M,0.6666666666666666,3,M,"['COCA COLA  1L', 'REMISE BUS AUTOROUTE 9\x80']"
140,"[327457, 535929, 863993]",3, 890 891,2019-02-01,M,0.6666666666666666,3,M,"['product-5401046', 'product-5401047']"
141,"[117912, 153534, 178751, 459345, 522260]",5, 6178 4125,2019-02-01,M,0.6666666666666666,5,M,"['product-6206300218860', 'RECHARGE LAVAGE TW - A']"
142,"[119521, 202227, 312870, 397295]",4, 2945 4112,2019-02-01,M,0.6666666666666666,4,M,"['TW LAVE GLACE H 2L', 'LAVAGE CLU']"
143,"[353337, 361281, 462819, 511024, 558641]",5, 6175 4125,2019-02-01,M,0.6666666666666666,5,M,"['product-6206300138427', 'RECHARGE LAVAGE TW - A']"
144,"[336687, 480373, 535454]",3, 6176 4125,2019-02-01,M,0.6666666666666666,3,M,"['product-6206300138922', 'RECHARGE LAVAGE TW - A']"
145,"[538243, 577984, 680791]",3, 6855 263,2019-02-01,M,0.6666666666666666,3,M,"[""CHIPS LAY'S SAL"", 'REMISE BUS AUTOROUTE 9\x80']"
146,"[102475, 179988, 270809, 1032078, 1244624]",5, 2977 2975,2019-02-01,M,0.6666666666666666,5,M,"['product-3217770314245', 'TW LAVE GLACE DEG. 4L']"
147,"[594278, 897154, 1081650]",3, 4135 4130,2019-02-01,M,0.6666666666666666,3,M,"['LAVAGE HP', 'ASPIRATEUR']"
148,"[988692, 998545, 1173969]",3, 264 263 891,2019-02-01,M,0.6666666666666666,3,M,"['REMISE BUS AUTOROUTE 15\x80', 'REMISE BUS AUTOROUTE 9\x80', 'product-5401047']"
149,"[577984, 680791, 984274]",3, 4264 6855,2019-02-01,M,0.6666666666666666,3,M,"['YRT VANILLE MNO', ""CHIPS LAY'S SAL""]"
150,"[263432, 296174, 448779]",3, 6459 4112,2019-02-01,M,0.6666666666666666,3,M,"['product-7804200142125', 'LAVAGE CLU']"
151,"[112041, 394073, 735561]",3, 6527 4126,2019-02-01,M,0.6666666666666666,3,M,"['product-7822500160199', 'RECHARGE LAVAGE']"
